        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band26    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     192.1   0.00042   0.00082   0.00079   0.00107   0.00336   0.00412   0.13450   0.21002   0.41143   0.82099   0.93763   0.93763   1.03237   1.04616   1.05436   1.06199
     192.2   0.00042   0.00083   0.00080   0.00108   0.00339   0.00416   0.13528   0.21113   0.41330   0.82389   0.94068   0.94068   1.03539   1.04915   1.05733   1.06492
     192.3   0.00042   0.00083   0.00081   0.00109   0.00342   0.00419   0.13605   0.21225   0.41518   0.82681   0.94373   0.94373   1.03842   1.05215   1.06030   1.06785
     192.4   0.00043   0.00084   0.00081   0.00110   0.00345   0.00423   0.13683   0.21337   0.41707   0.82973   0.94678   0.94678   1.04146   1.05516   1.06328   1.07079
     192.5   0.00043   0.00085   0.00082   0.00111   0.00348   0.00426   0.13761   0.21450   0.41897   0.83266   0.94985   0.94985   1.04450   1.05817   1.06626   1.07374
     192.6   0.00044   0.00086   0.00083   0.00112   0.00351   0.00430   0.13840   0.21563   0.42087   0.83559   0.95292   0.95292   1.04755   1.06119   1.06925   1.07669
     192.7   0.00044   0.00087   0.00084   0.00113   0.00355   0.00434   0.13919   0.21676   0.42277   0.83853   0.95600   0.95600   1.05061   1.06421   1.07225   1.07964
     192.8   0.00045   0.00088   0.00085   0.00114   0.00358   0.00437   0.13998   0.21791   0.42469   0.84148   0.95908   0.95908   1.05367   1.06724   1.07525   1.08260
     192.9   0.00045   0.00088   0.00085   0.00116   0.00361   0.00441   0.14078   0.21905   0.42661   0.84444   0.96217   0.96217   1.05673   1.07027   1.07825   1.08557
     193.0   0.00045   0.00089   0.00086   0.00117   0.00364   0.00445   0.14158   0.22020   0.42854   0.84741   0.96527   0.96527   1.05980   1.07331   1.08126   1.08854
     193.1   0.00046   0.00090   0.00087   0.00118   0.00367   0.00449   0.14239   0.22136   0.43047   0.85038   0.96837   0.96837   1.06288   1.07636   1.08428   1.09152
     193.2   0.00046   0.00091   0.00088   0.00119   0.00370   0.00453   0.14320   0.22252   0.43241   0.85336   0.97148   0.97148   1.06596   1.07941   1.08730   1.09450
     193.3   0.00047   0.00092   0.00089   0.00120   0.00373   0.00456   0.14401   0.22368   0.43436   0.85635   0.97460   0.97460   1.06905   1.08247   1.09033   1.09748
