        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     191.4   0.00040   0.00079   0.00074   0.00098   0.00338   0.00407   0.12757   0.20139   0.39381   0.79981   0.91558   1.01137   1.02527   1.03334   1.04116
     191.5   0.00040   0.00080   0.00075   0.00099   0.00341   0.00410   0.12831   0.20247   0.39562   0.80267   0.91857   1.01435   1.02823   1.03627   1.04406
     191.6   0.00041   0.00081   0.00075   0.00100   0.00344   0.00414   0.12905   0.20355   0.39744   0.80553   0.92158   1.01734   1.03119   1.03921   1.04696
     191.7   0.00041   0.00082   0.00076   0.00101   0.00347   0.00418   0.12980   0.20464   0.39927   0.80840   0.92458   1.02034   1.03416   1.04215   1.04987
     191.8   0.00042   0.00082   0.00077   0.00102   0.00350   0.00421   0.13055   0.20572   0.40110   0.81127   0.92760   1.02334   1.03713   1.04510   1.05278
     191.9   0.00042   0.00083   0.00078   0.00103   0.00353   0.00425   0.13130   0.20682   0.40294   0.81416   0.93062   1.02635   1.04011   1.04806   1.05570
     192.0   0.00042   0.00084   0.00078   0.00104   0.00356   0.00428   0.13206   0.20792   0.40478   0.81705   0.93365   1.02936   1.04309   1.05101   1.05862
     192.1   0.00043   0.00085   0.00079   0.00105   0.00359   0.00432   0.13282   0.20902   0.40663   0.81994   0.93669   1.03238   1.04609   1.05398   1.06155
     192.2   0.00043   0.00086   0.00080   0.00106   0.00362   0.00436   0.13358   0.21013   0.40849   0.82285   0.93973   1.03541   1.04908   1.05695   1.06449
     192.3   0.00044   0.00086   0.00081   0.00107   0.00365   0.00440   0.13435   0.21124   0.41036   0.82576   0.94278   1.03844   1.05208   1.05992   1.06742
     192.4   0.00044   0.00087   0.00081   0.00108   0.00369   0.00443   0.13512   0.21236   0.41223   0.82868   0.94584   1.04148   1.05509   1.06290   1.07037
     192.5   0.00045   0.00088   0.00082   0.00109   0.00372   0.00447   0.13589   0.21348   0.41411   0.83161   0.94890   1.04452   1.05810   1.06589   1.07332
     192.6   0.00045   0.00089   0.00083   0.00110   0.00375   0.00451   0.13667   0.21461   0.41599   0.83454   0.95197   1.04757   1.06112   1.06888   1.07627
     192.7   0.00045   0.00090   0.00084   0.00112   0.00378   0.00455   0.13745   0.21574   0.41788   0.83748   0.95505   1.05062   1.06414   1.07188   1.07923
     192.8   0.00046   0.00091   0.00085   0.00113   0.00382   0.00459   0.13824   0.21688   0.41978   0.84043   0.95813   1.05368   1.06717   1.07488   1.08219
     192.9   0.00046   0.00092   0.00086   0.00114   0.00385   0.00463   0.13903   0.21802   0.42168   0.84339   0.96122   1.05675   1.07021   1.07789   1.08516
